COMPETITION_WYID,MATCH_WYID,TEAM_WYID,SHOTS,FOULS,CORNERS,REDCARDS,YELLOWCARDS,OFFSIDES,DRIBBLES,GOALS,XGPERSHOT,AVGDISTANCE,XG,PROGRESSIVERUNS,TOUCHESINBOX,FOULSSUFFERED,SHOTSONTARGET,SHOTSBLOCKED,SHOTSOUTSIDEBOX,SHOTSOUTSIDEBOXONTARGET,SHOTSONPOST,SHOTSWIDE,SHOTSFROMBOX,SHOTSFROMBOXONTARGET,FREEKICKS,SHOTSFROMDANGERZONE,TOTALTHROWINS,LEFTTHROWINS,RIGHTTHROWINS,MATCH_WYID,MATCHLABEL,DATE,DATEUTC,MATCHSTATUS,COMPETITION_WYID,SEASON_WYID,ROUND_WYID,GAMEWEEK
335,1699867,7458,11,9,4,0,1,2,65,0,0.077,20.7,0.8455,11,13,8,1,2,7,1,0,8,4,0,0,4,23,8,15,1699867,"Nordsjælland - SønderjyskE, 0 - 2",2015-07-17 17:00:00.000,2015-07-17 15:00:00.000,Played,335,9493,4165479,1
335,1699867,7499,12,8,4,0,0,0,28,2,0.083,22.6,0.9959,5,11,9,7,2,8,4,0,3,4,3,2,4,17,10,7,1699867,"Nordsjælland - SønderjyskE, 0 - 2",2015-07-17 17:00:00.000,2015-07-17 15:00:00.000,Played,335,9493,4165479,1
335,1699868,7456,5,14,2,0,1,2,19,0,0.069,14.1,0.3439,7,7,16,1,0,0,0,0,4,5,1,10,3,31,13,18,1699868,"Midtjylland - Viborg, 2 - 0",2015-07-18 15:00:00.000,2015-07-18 13:00:00.000,Played,335,9493,4165479,1
335,1699868,7455,12,16,4,0,1,1,32,2,0.077,22.2,0.9293,9,13,14,3,1,7,2,0,8,5,1,7,4,21,9,12,1699868,"Midtjylland - Viborg, 2 - 0",2015-07-18 15:00:00.000,2015-07-18 13:00:00.000,Played,335,9493,4165479,1
335,1699869,7460,14,10,4,0,1,0,38,3,0.097,20.9,1.359,11,16,8,8,3,6,2,0,3,8,6,0,4,18,10,8,1699869,"OB - Hobro, 3 - 0",2015-07-19 12:30:00.000,2015-07-19 10:30:00.000,Played,335,9493,4165479,1
335,1699869,7510,14,10,2,0,2,2,29,0,0.092,22.3,1.289,3,12,9,9,2,8,6,1,2,6,3,1,3,27,14,13,1699869,"OB - Hobro, 3 - 0",2015-07-19 12:30:00.000,2015-07-19 10:30:00.000,Played,335,9493,4165479,1
335,1699871,7453,11,20,8,0,1,4,15,1,0.089,19.6,0.9837,2,19,10,2,5,4,2,0,4,7,0,4,4,24,13,11,1699871,"AGF - Brøndby, 2 - 1",2015-07-19 17:00:00.000,2015-07-19 15:00:00.000,Played,335,9493,4165479,1
335,1699871,7457,10,10,3,0,2,2,15,2,0.119,20.5,1.188,2,8,19,5,2,4,1,0,3,6,4,2,4,14,4,10,1699871,"AGF - Brøndby, 2 - 1",2015-07-19 17:00:00.000,2015-07-19 15:00:00.000,Played,335,9493,4165479,1
335,1699872,7454,18,8,5,0,2,0,29,1,0.109,20.1,1.961,8,13,16,6,6,12,5,1,5,6,1,0,6,21,10,11,1699872,"AaB - Esbjerg, 1 - 1",2015-07-20 18:00:00.000,2015-07-20 16:00:00.000,Played,335,9493,4165479,1
335,1699872,7451,18,17,10,0,2,2,23,1,0.112,19.2,2.017,5,15,8,9,4,8,3,0,5,10,6,1,5,23,11,12,1699872,"AaB - Esbjerg, 1 - 1",2015-07-20 18:00:00.000,2015-07-20 16:00:00.000,Played,335,9493,4165479,1
